url,depth_from_homepage,ratio
https://en.wikipedia.org/wiki/Wikipedia:Reference_desk,2,0.7753424657534247
https://en.wikipedia.org/wiki/Wikipedia:Contents/Portals,2,0.880093131548312
https://en.wikipedia.org/wiki/Wikimedia_Foundation,2,0.6580063626723224
https://wikimediafoundation.org/our-work/wikimedia-projects/,2,0.3880597014925373
https://commons.wikimedia.org/wiki/,2,0.4311377245508982
https://commons.wikimedia.org/wiki/,2,0.4311377245508982
https://www.mediawiki.org/wiki/,2,0.8176470588235294
https://www.mediawiki.org/wiki/,2,0.8176470588235294
https://meta.wikimedia.org/wiki/,2,0.4507422402159244
https://meta.wikimedia.org/wiki/,2,0.4507422402159244
https://en.wikibooks.org/wiki/,2,0.4015444015444015
https://en.wikibooks.org/wiki/,2,0.4015444015444015
https://www.wikidata.org/wiki/,2,0.20892494929006086
https://www.wikidata.org/wiki/,2,0.20892494929006086
https://en.wikinews.org/wiki/,2,0.5629139072847682
https://en.wikinews.org/wiki/,2,0.5629139072847682
https://en.wikiquote.org/wiki/,2,0.6004228329809725
https://en.wikiquote.org/wiki/,2,0.6004228329809725
https://en.wikisource.org/wiki/,2,0.5063829787234042
https://en.wikisource.org/wiki/,2,0.5063829787234042
https://species.wikimedia.org/wiki/,2,0.343205574912892
https://species.wikimedia.org/wiki/,2,0.343205574912892
https://en.wikiversity.org/wiki/,2,0.4723618090452261
https://en.wikiversity.org/wiki/,2,0.4723618090452261
https://en.wikivoyage.org/wiki/,2,0.5024390243902439
https://en.wikivoyage.org/wiki/,2,0.5024390243902439
https://en.wiktionary.org/wiki/,2,0.29734848484848486
https://en.wiktionary.org/wiki/,2,0.29734848484848486
https://en.wikipedia.org/wiki/English_language,2,0.8241845664280032
https://meta.wikimedia.org/wiki/List_of_Wikipedias,2,0.06341172968145281
https://ar.wikipedia.org/wiki/,2,0.0
https://de.wikipedia.org/wiki/,2,0.5875
https://es.wikipedia.org/wiki/,2,0.6435331230283912
https://fr.wikipedia.org/wiki/,2,0.0
https://it.wikipedia.org/wiki/,2,0.571764705882353
https://nl.wikipedia.org/wiki/,2,0.33025830258302585
https://ja.wikipedia.org/wiki/,2,0.0
